종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2180","-25","-1.13","2200","2210","2175","64519","141015155","59093281800","27107010"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2025","-10","-0.49","2065","2120","2020","1593290","3290735607","187749729900","92715916"
"225530","HC보광산업","KOSDAQ","우량기업부","2890","-55","-1.87","2945","2960","2885","33383","97013549","105018921030","36338727"
"060560","HC홈센타","KOSDAQ","중견기업부","688","-4","-0.58","692","698","682","30808","21089008","87836633200","127669525"
"012630","HDC","KOSPI",,"18870","50","0.27","19250","19250","18750","80987","1530643405","1127326275270","59741721"
"039570","HDC랩스","KOSPI",,"8200","-10","-0.12","8220","8260","8200","5595","46063210","212852328200","25957601"
"089470","HDC현대EP","KOSPI",,"3910","-30","-0.76","3980","3980","3890","26765","104458070","124729000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"19840","-210","-1.05","20200","20250","19830","178549","3563420195","1307601427200","65907330"
"009540","HD한국조선해양","KOSPI",,"461000","1000","0.22","467000","468500","445500","180031","81893225000","32626406476000","70773116"
"267250","HD현대","KOSPI",,"207000","0","0.00","212000","212500","201000","111633","22956321750","16351568595000","78993085"
"267270","HD현대건설기계","KOSPI",,"109700","1800","1.67","108000","112900","108000","116095","12835453900","1904130146100","17357613"
"443060","HD현대마린솔루션","KOSPI",,"244500","-8500","-3.36","257000","257000","239000","62193","15166402000","10960741845000","44829210"
"071970","HD현대마린엔진","KOSPI",,"97900","-1100","-1.11","99900","101000","96000","178433","17490319750","3320914360500","33921495"
"010620","HD현대미포","KOSPI",,"240000","4000","1.69","241500","242000","230000","239459","56396814500","9586115760000","39942149"
"322000","HD현대에너지솔루션","KOSPI",,"57600","-800","-1.37","58500","59100","55900","85035","4844850450","645120000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"16960","280","1.68","16990","17400","16880","1039756","17780738140","3202916996480","188851238"
"267260","HD현대일렉트릭","KOSPI",,"863000","24000","2.86","841000","873000","832000","104239","89166339500","31108677505000","36047135"
"329180","HD현대중공업","KOSPI",,"600000","6000","1.01","598000","601000","574000","139547","82112163000","53263869600000","88773116"
"097230","HJ중공업","KOSPI",,"30050","150","0.50","30050","30550","28650","3708784","109395226500","2713375087200","90295344"
"195940","HK이노엔","KOSDAQ GLOBAL","우량기업부","50600","-700","-1.36","50800","50800","49800","109743","5512729525","1433492484600","28329891"
"014790","HL D&I","KOSPI",,"2430","-60","-2.41","2485","2540","2400","251697","616998340","91996400430","37858601"
